Animal,Date,Location,Session,Notes,More Notes
Marble17,9/17/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble17/20180917_2_fcbox,2,Shock Box Day -2,
Marble17,9/18/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble17/20180918_1_openfield,1,Open field Day -1,
Marble17,9/18/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble17/20180918_2_fcbox,2,Shock Box Day -1,
Marble17,9/19/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble17/20180919_1_openfield,1,Open field Day 0,
Marble17,9/19/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble17/20180919_2_fcbox,2,Shock Box Day 0,
Marble17,9/19/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble17/20180919_3_openfield,3,Open field  4hr,
Marble17,9/19/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble17/20180919_4_fcbox,4,Shock Box  4hr,
Marble17,9/20/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble17/20180920_1_openfield,1,Open field Day 1,
Marble17,9/20/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble17/20180920_2_fcbox,2,Shock Box Day 1,
Marble17,9/21/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble17/20180921_1_openfield,1,Open field Day 2,
Marble17,9/21/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble17/20180921_2_fcbox,2,Shock Box Day 2,
Marble17,9/26/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble17/20180926_1_openfield,1,Open field Day 7,
Marble17,9/26/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble17/20180926_2_fcbox,2,Shock Box Day 7,
Marble18,9/17/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble18/20180917_1_openfield,1,Open field Day -2,
Marble18,9/17/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble18/20180917_2_fcbox,2,Shock Box Day -2,
Marble18,9/18/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble18/20180918_1_openfield,1,Open field Day -1,
Marble18,9/18/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble18/20180918_2_fcbox,2,Shock Box Day -1,
Marble18,9/19/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble18/20180919_1_openfield,1,Open field Day 0,
Marble18,9/19/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble18/20180919_2_fcbox,2,Shock Box Day 0,
Marble18,9/19/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble18/20180919_3_openfield,3,Open field  4hr,
Marble18,9/19/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble18/20180919_4_fcbox,4,Shock Box  4hr,
Marble18,9/20/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble18/20180920_1_openfield,1,Open field Day 1,
Marble18,9/20/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble18/20180920_2_fcbox,2,Shock Box Day 1,
Marble18,9/21/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble18/20180921_1_openfield,1,Open field Day 2,
Marble18,9/21/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble18/20180921_2_fcbox,2,Shock Box Day 2,
Marble18,9/26/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble18/20180926_1_openfield,1,Open field Day 7,
Marble18,9/26/18,/Users/nkinsky/Documents/BU/Working/Eraser/Anisomycin Group/Marble18/20180926_2_fcbox,2,Shock Box Day 7,
